,Year,Coal production change (%),Coal production change (tWh),Gas production change (%),Oil production change (%),Oil production change (tWh),Energy consumption change (%),Energy consumption change (tWh),Biofuel consumption change (tWh),Biofuel consumption (tWh),Biofuel consumption per capita (kWh),Coal consumption (tWh),Coal production (tWh),Coal production per capita (kWh),Electricity generation (tWh),Hydro electricity generation (tWh),Nuclear electricity generation (tWh),Other renewable electricity (tWh),Renewables electricity generation (tWh),Solar electricity generation (tWh),Wind electricity generation (tWh),Energy consumption per GDP (kWh/$),Energy consumption per capita (kWh),Gas consumption (tWh),Gas production (tWh),Gas production per capita (kWh),Share of electricity consumption from hydro,Hydro electricity consumption per capita (kWh),Electricity consumption share from low carbon,Low carbon electricity generation (tWh),Low carbon electricity consumption (kWh),Share of electricity consumption from nuclear,Nuclear electricity consumption per capita (kWh),Oil energy consumption (tWh),Oil production (tWh),Oil production per capita (kWh),Other renewables consumption per capita (kWh),Share of consumption from other renewables,Electricity consumption per capita (kWh),Population,Primary energy consumption (tWh),Renewables consumption per capita (kWh),Share of consumption from renewables,Share of electricity consumption from solar,Solar consumption per capita (kWh),GDP,Share of electricity consumption from wind,Wind consumption per capita (kWh)
4445,1900,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,0.0,0.0,,,,,,,,,0.0,0.0,,,,2557581.0,,,,,,10999494656.0,,
4446,1901,,0.0,0.0,,0.0,,,,,,,0.0,0.0,,,,,,,,,,,0.0,0.0,,,,,,,,,0.0,0.0,,,,2588846.0,,,,,,11488826368.0,,
4447,1902,,0.0,0.0,,0.0,,,,,,,0.0,0.0,,,,,,,,,,,0.0,0.0,,,,,,,,,0.0,0.0,,,,2620859.0,,,,,,11779893248.0,,
4448,1903,,0.0,0.0,,0.0,,,,,,,0.0,0.0,,,,,,,,,,,0.0,0.0,,,,,,,,,0.0,0.0,,,,2651740.0,,,,,,12506242048.0,,
4449,1904,,0.0,0.0,,0.0,,,,,,,0.0,0.0,,,,,,,,,,,0.0,0.0,,,,,,,,,0.0,0.0,,,,2682732.0,,,,,,12799093760.0,,
4450,1905,,0.0,0.0,,0.0,,,,,,,0.0,0.0,,,,,,,,,,,0.0,0.0,,,,,,,,,0.0,0.0,,,,2714279.0,,,,,,13045940224.0,,
4451,1906,,0.0,0.0,,0.0,,,,,,,0.0,0.0,,,,,,,,,,,0.0,0.0,,,,,,,,,0.0,0.0,,,,2746271.0,,,,,,13441863680.0,,
4452,1907,,0.0,0.0,,0.0,,,,,,,0.0,0.0,,,,,,,,,,,0.0,0.0,,,,,,,,,0.0,0.0,,,,2775707.0,,,,,,13974899712.0,,
4453,1908,,0.0,0.0,,0.0,,,,,,,0.0,0.0,,,,,,,,,,,0.0,0.0,,,,,,,,,0.0,0.0,,,,2810098.0,,,,,,14443878400.0,,
4454,1909,,0.0,0.0,,0.0,,,,,,,0.0,0.0,,,,,,,,,,,0.0,0.0,,,,,,,,,0.0,0.0,,,,2845289.0,,,,,,15032980480.0,,
4455,1910,,0.0,0.0,,0.0,,,,,,,0.0,0.0,,,,,,,,,,,0.0,0.0,,,,,,,,,0.0,0.0,,,,2880480.0,,,,,,15522452480.0,,
4456,1911,,0.0,0.0,,0.0,,,,,,,0.0,0.0,,,,,,,,,,,0.0,0.0,,,,,,,,,0.0,0.0,,,,2916337.0,,,,,,16241856512.0,,
4457,1912,,0.0,0.0,,0.0,,,,,,,0.0,0.0,,,,,,,,,,,0.0,0.0,,,,,,,,,0.0,0.0,,,,2949994.0,,,,,,16133116928.0,,
4458,1913,,0.0,0.0,,0.0,,,,,,,0.0,0.0,,,,,,,,,,,0.0,0.0,,,,,,,,,0.0,0.0,,,,2983652.0,,,,,,16621276160.0,,
4459,1914,,0.0,0.0,,0.0,,,,,,,0.0,0.0,,,,,,,,,,,0.0,0.0,,,,,,,,,0.0,0.0,,,,3018309.0,,,,,,17546651648.0,,
4460,1915,,0.0,0.0,,0.0,,,,,,,0.0,0.0,,,,,,,,,,,0.0,0.0,,,,,,,,,0.0,0.0,,,,3054632.0,,,,,,16209829888.0,,
4461,1916,,0.0,0.0,,0.0,,,,,,,0.0,0.0,,,,,,,,,,,0.0,0.0,,,,,,,,,0.0,0.0,,,,3091955.0,,,,,,16780283904.0,,
4462,1917,,0.0,0.0,,0.0,,,,,,,0.0,0.0,,,,,,,,,,,0.0,0.0,,,,,,,,,0.0,0.0,,,,3128612.0,,,,,,15678170112.0,,
4463,1918,,0.0,0.0,,0.0,,,,,,,0.0,0.0,,,,,,,,,,,0.0,0.0,,,,,,,,,0.0,0.0,,,,3165276.0,,,,,,15052739584.0,,
4464,1919,,0.0,0.0,,0.0,,,,,,,0.0,0.0,,,,,,,,,,,0.0,0.0,,,,,,,,,0.0,0.0,,,,3202604.0,,,,,,16874540032.0,,
4465,1920,,0.0,0.0,,0.0,,,,,,,0.0,0.0,,,,,,,,,,,0.0,0.0,,,,,,,,,0.0,0.0,,,,3242599.0,,,,,,17542461440.0,,
4466,1921,,0.0,0.0,,0.0,,,,,,,0.0,0.0,,,,,,,,,,,0.0,0.0,,,,,,,,,0.0,0.0,,,,3282594.0,,,,,,16914464768.0,,
4467,1922,,0.0,0.0,,0.0,,,,,,,0.0,0.0,,,,,,,,,,,0.0,0.0,,,,,,,,,0.0,0.0,,,,3320590.0,,,,,,18490251264.0,,
4468,1923,,0.0,0.0,,0.0,,,,,,,0.0,0.0,,,,,,,,,,,0.0,0.0,,,,,,,,,0.0,0.0,,,,3355252.0,,,,,,20287019008.0,,
4469,1924,,0.0,0.0,,0.0,,,,,,,0.0,0.0,,,,,,,,,,,0.0,0.0,,,,,,,,,0.0,0.0,,,,3389581.0,,,,,,20198440960.0,,
4470,1925,,0.0,0.0,,0.0,,,,,,,0.0,0.0,,,,,,,,,,,0.0,0.0,,,,,,,,,0.0,0.0,,,,3421577.0,,,,,,19591000064.0,,
4471,1926,,0.0,0.0,,0.0,,,,,,,0.0,0.0,,,,,,,,,,,0.0,0.0,,,,,,,,,0.0,0.0,,,,3450240.0,,,,,,20577372160.0,,
4472,1927,,0.0,0.0,,0.0,,,,,,,0.0,0.0,,,,,,,,,,,0.0,0.0,,,,,,,,,0.0,0.0,,,,3474237.0,,,,,,20829149184.0,,
4473,1928,,0.0,0.0,,0.0,,,,,,,0.0,0.0,,,,,,,,,,,0.0,0.0,,,,,,,,,0.0,0.0,,,,3496235.0,,,,,,21370167296.0,,
4474,1929,,0.0,0.0,,0.0,,,,,,,0.0,0.0,,,,,,,,,,,0.0,0.0,,,,,,,,,0.0,0.0,,,,3518565.0,,,,,,22624258048.0,,
4475,1930,,0.0,0.0,,0.0,,,,,,,0.0,0.0,,,,,,,,,,,0.0,0.0,,,,,,,,,0.0,0.0,,,,3542562.0,,,,,,24046637056.0,,
4476,1931,,0.0,0.0,,0.0,,,,,,,0.0,0.0,,,,,,,,,,,0.0,0.0,,,,,,,,,0.0,0.0,,,,3570892.0,,,,,,24386977792.0,,
4477,1932,,0.0,0.0,,0.0,,,,,,,0.0,0.0,,,,,,,,,,,0.0,0.0,,,,,,,,,0.0,0.0,,,,3601222.0,,,,,,23823036416.0,,
4478,1933,,0.0,0.0,,0.0,,,,,,,0.0,0.0,,,,,,,,,,,0.0,0.0,,,,,,,,,0.0,0.0,,,,3633551.0,,,,,,24660803584.0,,
4479,1934,,0.0,0.0,,0.0,,,,,,,0.0,0.0,,,,,,,,,,,0.0,0.0,,,,,,,,,0.0,0.0,,,,3664214.0,,,,,,25486032896.0,,
4480,1935,,0.0,0.0,,0.0,,,,,,,0.0,0.0,,,,,,,,,,,0.0,0.0,,,,,,,,,0.0,0.0,,,,3693877.0,,,,,,26138429440.0,,
4481,1936,,0.0,0.0,,0.0,,,,,,,0.0,0.0,,,,,,,,,,,0.0,0.0,,,,,,,,,0.0,0.0,,,,3721540.0,,,,,,26869118976.0,,
4482,1937,,0.0,0.0,,0.0,,,,,,,0.0,0.0,,,,,,,,,,,0.0,0.0,,,,,,,,,0.0,0.0,,,,3748870.0,,,,,,27603886080.0,,
4483,1938,,0.0,0.0,,0.0,,,,,,,0.0,0.0,,,,,,,,,,,0.0,0.0,,,,,,,,,0.0,0.0,,,,3776533.0,,,,,,28353939456.0,,
4484,1939,,0.0,0.0,,0.0,,,,,,,0.0,0.0,,,,,,,,,,,0.0,0.0,,,,,,,,,0.0,0.0,,,,3804197.0,,,,,,29800759296.0,,
4485,1940,,0.58,0.0,,0.0,,,,,,,0.58,151.208,,,,,,,,,,,0.0,0.0,,,,,,,,,0.0,0.0,,,,3832860.0,,,,,,25697392640.0,,
4486,1941,342.478,1.985,0.0,,0.0,,,,,,,2.564,663.408,,,,,,,,,,,0.0,0.0,,,,,,,,,0.0,0.0,,,,3865522.0,,,,,,23228219392.0,,
4487,1942,80.0,2.052,0.0,,0.0,,,,,,,4.616,1182.208,,,,,,,,,,,0.0,0.0,,,,,,,,,0.0,0.0,,,,3904518.0,,,,,,23823912960.0,,
4488,1943,44.444,2.052,0.0,,0.0,,,,,,,6.667,1688.179,,,,,,,,,,,0.0,0.0,,,,,,,,,0.0,0.0,,,,3949512.0,,,,,,26533330944.0,,
4489,1944,-15.385,-1.026,0.0,,0.0,,,,,,,5.642,1411.545,,,,,,,,,,,0.0,0.0,,,,,,,,,0.0,0.0,,,,3996840.0,,,,,,29401292800.0,,
4490,1945,4.545,0.256,0.0,,0.0,,,,,,,5.898,1457.235,,,,,,,,,,,0.0,0.0,,,,,,,,,0.0,0.0,,,,4047500.0,,,,,,27267344384.0,,
4491,1946,0.0,0.0,0.0,,0.0,,,,,,,5.898,1439.69,,,,,,,,,,,0.0,0.0,,,,,,,,,0.0,0.0,,,,4096827.0,,,,,,31614609408.0,,
4492,1947,21.739,1.282,0.0,,0.0,,,,,,,7.18,1732.231,,,,,,,,,,,0.0,0.0,,,,,,,,,0.0,0.0,,,,4145155.0,,,,,,33491388416.0,,
4493,1948,-14.286,-1.026,0.0,,0.0,,,,,,,6.155,1469.528,,,,,,,,,,,0.0,0.0,,,,,,,,,0.0,0.0,,,,4188149.0,,,,,,34496270336.0,,
4494,1949,-33.333,-2.052,0.0,,0.0,,,,,,,4.103,970.244,,,,,,,,,,,0.0,0.0,,,,,,,,,0.0,0.0,,,,4228901.0,,,,,,36987121664.0,,
4495,1950,-51.875,-2.128,0.0,,0.0,,,,,,,1.975,462.653,,,,,,,,,,,0.0,0.0,,,,,,,,,0.0,0.0,,,,4268000.0,,,,,,40044896256.0,,
4496,1951,105.455,2.082,0.0,,0.0,,,,,,,4.057,941.496,,,,,,,,,,,0.0,0.0,,,,,,,,,0.0,0.0,,,,4309000.0,,,,,,40057327616.0,,
4497,1952,1.201,0.049,0.0,,0.0,,,,,,,4.106,944.692,,,,,,,,,,,0.0,0.0,,,,,,,,,0.0,0.0,,,,4346000.0,,,,,,40726597632.0,,
4498,1953,-50.156,-2.059,0.0,,0.0,,,,,,,2.046,467.216,,,,,,,,,,,0.0,0.0,,,,,,,,,0.0,0.0,,,,4380000.0,,,,,,43611357184.0,,
4499,1954,-14.912,-0.305,0.0,,0.0,,,,,,,1.741,394.66,,,,,,,,,,,0.0,0.0,,,,,,,,,0.0,0.0,,,,4412000.0,,,,,,43963068416.0,,
4500,1955,17.968,0.313,0.0,,0.0,,,,,,,2.054,462.531,,,,,,,,,,,0.0,0.0,,,,,,,,,0.0,0.0,,,,4441000.0,,,,,,44327854080.0,,
4501,1956,74.282,1.526,0.0,,0.0,,,,,,,3.58,801.237,,,,,,,,,,,0.0,0.0,,,,,,,,,0.0,0.0,,,,4468000.0,,,,,,45012815872.0,,
4502,1957,83.381,2.985,0.0,,0.0,,,,,,,6.565,1460.491,,,,,,,,,,,0.0,0.0,,,,,,,,,0.0,0.0,,,,4495000.0,,,,,,49058328576.0,,
4503,1958,-4.492,-0.295,0.0,,0.0,,,,,,,6.27,1386.555,,,,,,,,,,,0.0,0.0,,,,,,,,,0.0,0.0,,,,4522000.0,,,,,,50486730752.0,,
4504,1959,9.898,0.621,0.0,,0.0,,,,,,,6.891,1514.082,,,,,,,,,,,0.0,0.0,,,,,,,,,0.0,0.0,,,,4551000.0,,,,,,54818631680.0,,
4505,1960,-0.521,-0.036,0.0,,0.0,,,,,,,6.855,1496.33,,,,,,,,,,,0.0,0.0,,,,,,,,,0.0,0.0,,,,4581000.0,,,,,,55214792704.0,,
4506,1961,-6.697,-0.459,0.0,,0.0,,,,,,,6.396,1386.141,,,,,,,,,,,0.0,0.0,,,,,,,,,0.0,0.0,,,,4614000.0,,,,,,58938851328.0,,
4507,1962,2.486,0.159,0.0,,0.0,,,,,,,6.555,1409.905,,,,,,,,,,,0.0,0.0,,,,,,,,,0.0,0.0,,,,4649000.0,,,,,,62827438080.0,,
4508,1963,-1.721,-0.113,0.0,,0.0,,,,,,,6.442,1374.694,,,,,,,,,,,0.0,0.0,,,,,,,,,0.0,0.0,,,,4686000.0,,,,,,63552512000.0,,
4509,1964,-12.619,-0.813,0.0,,0.0,,,,,,,5.629,1191.553,,,,,,,,,,,0.0,0.0,,,,,,,,,0.0,0.0,,,,4724000.0,,,,,,69912641536.0,,
4510,1965,0.0,,,,,,,,0.0,0.0,43.009,,,,,,,,,,2.254,34916.791,0.0,,,,,,,,,,123.126,,,,,,4760000.0,166.204,,,,,73725206528.0,,
4511,1966,0.0,,,,,13.749,22.851,0.0,0.0,0.0,48.745,,,,,,,,,,2.493,39419.286,0.0,,,,,,,,,,140.238,,,,,,4796000.0,189.055,,,,,75837186048.0,,
4512,1967,0.0,,,,,0.563,1.064,0.0,0.0,0.0,41.733,,,,,,,,,,2.41,39345.851,0.0,,,,,,,,,,148.317,,,,,,4832000.0,190.119,,,,,78890213376.0,,
4513,1968,0.0,,,,,4.494,8.544,0.0,0.0,0.0,37.393,,,,,,,,,,2.399,40826.809,0.0,,,,,,,,,,161.212,,,,,,4866000.0,198.663,,,,,82802270208.0,,
4514,1969,0.0,,,,,14.789,29.38,0.0,0.0,0.0,34.155,,,,,,,,,,2.569,46548.854,0.0,,,,,,,,,,193.827,,,,,,4899000.0,228.043,,,,,88776540160.0,,
4515,1970,0.0,,,,,6.552,14.942,0.0,0.0,0.0,27.319,,,,,,,,,,2.664,49277.087,0.0,0.0,0.0,,,,,,,,215.6,,,,,,4931000.0,242.985,,,,,91206213632.0,,
4516,1971,0.0,,0.0,,,-5.496,-13.354,0.0,0.0,0.0,16.718,,,,,,,,,,2.45,46277.92,0.0,0.0,0.0,,,,,,,,212.846,,,,,,4962000.0,229.631,,,,,93736181760.0,,
4517,1972,0.0,,0.0,,,5.534,12.707,0.0,0.0,0.0,17.08,,,,,,,,,,2.443,48555.032,0.0,0.0,0.0,,,,,,,,225.192,1.135,227.361,,,,4991000.0,242.338,,,,,99191037952.0,,
4518,1973,0.0,,0.0,49.59,0.563,-3.249,-7.873,0.0,0.0,0.0,26.178,,,,,,,,,,2.276,46734.194,0.0,0.0,0.0,,,,,,,,208.221,1.697,338.347,,,,5017000.0,234.465,,,,,103000000000.0,,
4519,1974,0.0,,0.0,-33.333,-0.566,-9.023,-21.156,0.0,0.0,0.0,24.729,,,,,,,,,,2.137,42314.972,0.0,0.0,0.0,,,,,,,,188.514,1.132,224.491,,,,5041000.0,213.31,,,,,99805233152.0,,
4520,1975,0.0,,0.0,50.0,0.566,-1.441,-3.074,0.0,0.0,0.0,23.858,,,,,,,,,,2.118,41523.974,0.0,0.0,0.0,,,,,,,,186.32,1.697,335.273,,,,5063000.0,210.236,,,,,99246841856.0,,
4521,1976,0.0,,0.0,33.699,0.572,10.086,21.204,0.0,0.0,0.0,33.147,,,,,,,,,,2.183,45550.08,0.0,0.0,0.0,,,,,,,,198.24,2.27,446.667,,,,5081000.0,231.44,,,,,106000000000.0,,
4522,1977,0.0,,0.0,149.317,3.389,2.05,4.745,0.0,0.0,0.0,38.13,,,,,,,,,,2.187,46338.002,0.0,0.0,0.0,,,,,,,,197.982,5.658,1110.122,,,,5097000.0,236.185,,,,,108000000000.0,,
4523,1978,0.0,,0.0,-20.0,-1.132,1.452,3.429,0.0,0.0,0.0,42.009,,,,,,,,,,2.198,46891.077,0.0,0.0,0.0,,,,,,,,197.521,4.527,885.838,,,,5110000.0,239.613,,,,,109000000000.0,,
4524,1979,0.0,,0.0,0.0,0.0,-0.201,-0.481,0.0,0.0,0.0,50.097,,,,,,,,,,2.116,46714.7,0.0,0.0,0.0,,,,,,,,188.938,4.527,884.28,,,,5119000.0,239.133,,,,,113000000000.0,,
4525,1980,0.0,,0.0,-24.795,-1.122,-2.584,-6.179,0.0,0.0,0.0,71.498,,,,,,,,,,2.118,45463.133,0.0,0.0,0.0,,,,,,,,161.331,3.404,664.378,,,,5124000.0,232.953,,,,,110000000000.0,,
4526,1981,0.0,,0.0,149.317,5.083,-10.18,-23.714,0.0,0.0,0.0,57.144,,,,,,,,,,1.993,40827.18,0.0,0.0,0.0,,,,,,,,151.967,8.487,1656.085,,,,5125000.0,209.239,,,,,105000000000.0,,
